Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
2016-10-07	114.309998	114.559998	113.510002	114.059998	24329900	114.059998	-	-0.218703529327	
2016-10-06	113.699997	114.339996	113.129997	113.889999	28495400	113.889999	+	0.167108183829	
2016-10-05	113.400002	113.660004	112.690002	113.050003	21453100	113.050003	-	-0.308641088031	
2016-10-04	113.059998	114.309998	112.629997	113.00	29736800	113.00	-	-0.0530673987806	
2016-10-03	112.709999	113.050003	112.279999	112.519997	21701800	112.519997	-	-0.168575992978	
2016-09-30	112.459999	113.370003	111.800003	113.050003	36379100	113.050003	+	0.524634541389	
2016-09-29	113.160004	113.800003	111.800003	112.18	35887000	112.18	-	-0.86603390364	
2016-09-28	113.690002	114.639999	113.43	113.949997	29641100	113.949997	+	0.228687655402	
2016-09-27	113.00	113.18	112.339996	113.089996	24607400	113.089996	+	0.0796424778761	
2016-09-26	111.639999	113.389999	111.550003	112.879997	29869400	112.879997	+	1.11071122457	
2016-09-23	114.419998	114.790001	111.550003	112.709999	52481200	112.709999	-	-1.49449312174	
2016-09-22	114.349998	114.940002	114.00	114.620003	31074000	114.620003	+	0.236121560754	
2016-09-21	113.849998	113.989998	112.440002	113.550003	36003200	113.550003	-	-0.263500224216	
2016-09-20	113.050003	114.120003	112.510002	113.57	34514300	113.57	+	0.45997079717	
2016-09-19	115.190002	116.18	113.25	113.580002	47023000	113.580002	-	-1.3976907475	
2016-09-16	115.120003	116.129997	114.040001	114.919998	79886900	114.919998	-	-0.173736096932	
2016-09-15	113.860001	115.730003	113.489998	115.57	89983600	115.57	+	1.50184347882	
2016-09-14	108.730003	113.029999	108.599998	111.769997	110888700	111.769997	+	2.79591089499	
2016-09-13	107.510002	108.790001	107.239998	107.949997	62176200	107.949997	+	0.409259596144	
2016-09-12	102.650002	105.720001	102.529999	105.440002	45292800	105.440002	+	2.71797364407	
2016-09-09	104.639999	105.720001	103.129997	103.129997	46557000	103.129997	-	-1.44304473856	
2016-09-08	107.25	107.269997	105.239998	105.519997	53002000	105.519997	-	-1.61305641026	
2016-09-07	107.830002	108.760002	107.07	108.360001	42364300	108.360001	+	0.491513484345	
