Date	Open	High	Low	Close	Volume	Adj Close	+/-	% change	
2016-10-07	69.260002	69.470001	68.169998	68.699997	12606900	68.699997	-	-0.808554697991	
2016-10-06	71.669998	71.669998	68.889999	69.360001	20047700	69.360001	-	-3.22310180614	
2016-10-05	71.870003	72.269997	71.599998	71.669998	6464400	71.669998	-	-0.278287173579	
2016-10-04	72.00	72.57	71.550003	71.75	6569300	71.75	-	-0.347222222222	
2016-10-03	71.830002	72.150002	71.599998	72.010002	5857700	72.010002	+	0.25059166781	
2016-09-30	71.50	72.459999	71.400002	72.120003	9982600	72.120003	+	0.867137062937	
2016-09-29	71.57	71.709999	70.620003	70.730003	7996800	70.730003	-	-1.17367192958	
2016-09-28	72.220001	72.32	71.379997	71.790001	6184900	71.790001	-	-0.595402927231	
2016-09-27	71.93	72.489998	71.580002	72.330002	6344400	72.330002	+	0.556098985124	
2016-09-26	72.309998	72.330002	71.519997	71.620003	5948700	71.620003	-	-0.954217976883	
